Sample,quant,condition,population,Location,latitude
TR01,trimmed.TR1_CKDL210019355-1a-AK5325_HGV5WBBXX_L3_1.fq.gz.quant,Drought,157,High,EU
TR05,trimmed.TR5_CKDL210019355-1a-AK2748_HGV5WBBXX_L3_1.fq.gz.quant,Drought,157,High,EU
TR08,trimmed.TR8_CKDL210019355-1a-AK2789_HGV5WBBXX_L3_1.fq.gz.quant,Drought,155,Low,EU
TR09,trimmed.TR9_CKDL210019355-1a-AK1774_HGV5WBBXX_L3_1.fq.gz.quant,Control,155,Low,EU
TR12,trimmed.TR12_CKDL210019355-1a-52_HGV5WBBXX_L3_1.fq.gz.quant,Drought,155,Low,EU
TR14,trimmed.TR14_CKDL210019355-1a-AK2788_HGV5WBBXX_L3_1.fq.gz.quant,Control,95,High,EU
TR15,trimmed.TR15_CKDL210019355-1a-AK1061_HGV5WBBXX_L3_1.fq.gz.quant,Drought,95,High,EU
TR17,trimmed.TR17_CKDL210019355-1a-AK1929_HGV5WBBXX_L3_1.fq.gz.quant,Drought,95,High,EU
TR18,trimmed.TR18_CKDL210019355-1a-AK1060_HGV5WBBXX_L3_1.fq.gz.quant,Control,95,High,EU
TR19,trimmed.TR19_CKDL210019355-1a-AK2185_HGV5WBBXX_L3_1.fq.gz.quant,Drought,93,High,EU
TR20,trimmed.TR20_CKDL210019355-1a-AK8599_HGV5WBBXX_L3_1.fq.gz.quant,Control,93,High,EU
TR21,trimmed.TR21_CKDL210019355-1a-AK2182_HGV5WBBXX_L3_1.fq.gz.quant,Drought,93,High,EU
TR23,trimmed.TR23_CKDL210019355-1a-AK2177_HGV5WBBXX_L3_1.fq.gz.quant,Drought,93,High,EU
TR24,trimmed.TR24_CKDL210019355-1a-77_HGV5WBBXX_L3_1.fq.gz.quant,Control,93,High,EU
TR25,trimmed.TR25_CKDL210019355-1a-AK3590_HGV5WBBXX_L3_1.fq.gz.quant,Drought,56,Low,EU
TR28,trimmed.TR28_CKDL210019355-1a-AK5324_HGV5WBBXX_L3_1.fq.gz.quant,Control,56,Low,EU
TR29,trimmed.TR29_CKDL210019355-1a-AK8597_HGV5WBBXX_L3_1.fq.gz.quant,Drought,56,Low,EU
TR30,trimmed.TR30_CKDL210019355-1a-AK2183_HGV5WBBXX_L3_1.fq.gz.quant,Control,56,Low,EU
TR31,trimmed.TR31_CKDL210019355-1a-AK2181_HGV5WBBXX_L3_1.fq.gz.quant,Drought,59,Low,EU
TR32,trimmed.TR32_CKDL210019355-1a-AK2179_HGV5WBBXX_L3_1.fq.gz.quant,Control,59,Low,EU
TR43,trimmed.TR43_CKDL210019355-1a-AK1299_HGV5WBBXX_L3_1.fq.gz.quant,Drought,88,High,EU
TR48,trimmed.TR48_CKDL210019355-1a-AK5329_HGV5WBBXX_L3_1.fq.gz.quant,Control,88,High,EU
TR50,trimmed.TR50_CKDL210019355-1a-AK1208_HGV5WBBXX_L3_1.fq.gz.quant,Drought,47,High,NA
TR61,trimmed.TR61_CKDL210019355-1a-AK5335_HGV5WBBXX_L3_1.fq.gz.quant,Drought,39,High,NA
TR62,trimmed.TR62_CKDL210019355-1a-AK1958_HGV5WBBXX_L3_1.fq.gz.quant,Drought,39,High,NA
TR64,trimmed.TR64_CKDL210019355-1a-AK1189_HGV5WBBXX_L3_1.fq.gz.quant,Drought,39,High,NA
TR65,trimmed.TR65_CKDL210019355-1a-AK2024_HGV5WBBXX_L3_1.fq.gz.quant,Control,39,High,NA
TR67,trimmed.TR67_CKDL210019355-1a-AK1171_HGV5WBBXX_L3_1.fq.gz.quant,Drought,38,High,NA
TR68,trimmed.TR68_CKDL210019355-1a-AK2178_HGV5WBBXX_L3_1.fq.gz.quant,Control,38,High,NA
TR69,trimmed.TR69_CKDL210019355-1a-AK2325_HGV5WBBXX_L3_1.fq.gz.quant,Drought,38,High,NA
TR70,trimmed.TR70_CKDL210019355-1a-AK1523_HGV5WBBXX_L3_1.fq.gz.quant,Control,38,High,NA
TR71,trimmed.TR71_CKDL210019355-1a-AK2684_HGV5WBBXX_L3_1.fq.gz.quant,Drought,38,High,NA
TR72,trimmed.TR72_CKDL210019355-1a-AK1946_HGV5WBBXX_L3_1.fq.gz.quant,Control,38,High,NA
TR73,trimmed.TR73_CKDL210019355-1a-AK1525_HGV5WBBXX_L3_1.fq.gz.quant,Control,1,Low,NA
TR74,trimmed.TR74_CKDL210019355-1a-AK2791_HGV5WBBXX_L3_1.fq.gz.quant,Drought,1,Low,NA
TR74b,trimmed.TR74b_CKDL210019355-1a-AK6548_HGV5WBBXX_L3_1.fq.gz.quant,Drought,1,Low,NA
TR78,trimmed.TR78_CKDL210019355-1a-AK393_HGV5WBBXX_L3_1.fq.gz.quant,Drought,1,Low,NA
TR79,trimmed.TR79_CKDL210019355-1a-AK2327_HGV5WBBXX_L3_1.fq.gz.quant,Control,2,Low,NA
TR80,trimmed.TR80_CKDL210019355-1a-AK870_HGV5WBBXX_L3_1.fq.gz.quant,Drought,2,Low,NA
TR82,trimmed.TR82_CKDL210019355-1a-AK1899_HGV5WBBXX_L3_1.fq.gz.quant,Drought,2,Low,NA
TR83,trimmed.TR83_CKDL210019355-1a-AK1177_HGV5WBBXX_L3_1.fq.gz.quant,Control,2,Low,NA
TR84,trimmed.TR84_CKDL210019355-1a-AK5219_HGV5WBBXX_L3_1.fq.gz.quant,Drought,2,Low,NA
TR85,trimmed.TR85_CKDL210019355-1a-AK2184_HGV5WBBXX_L3_1.fq.gz.quant,Control,7,Low,NA
TR86,trimmed.TR86_CKDL210019355-1a-AK1960_HGV5WBBXX_L3_1.fq.gz.quant,Drought,7,Low,NA
TR87,trimmed.TR87_CKDL210019355-1a-AK2180_HGV5WBBXX_L3_1.fq.gz.quant,Control,7,Low,NA
TR88,trimmed.TR88_CKDL210019355-1a-63_HGV5WBBXX_L3_1.fq.gz.quant,Drought,7,Low,NA
TR89,trimmed.TR89_CKDL210019355-1a-AK2328_HGV5WBBXX_L3_1.fq.gz.quant,Control,7,Low,NA
TR90,trimmed.TR90_CKDL210019355-1a-AK969_HGV5WBBXX_L3_1.fq.gz.quant,Drought,7,Low,NA
TR92,trimmed.TR92_CKDL210019355-1a-AK2326_HGV5WBBXX_L3_1.fq.gz.quant,Control,10,Low,NA
