Sample;quant;condition
TR01;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR01.quant/quant.sf;Drought
TR04;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR04.quant/quant.sf;Control
TR05;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR05.quant/quant.sf;Drought
TR08;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR08.quant/quant.sf;Drought
TR09;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR09.quant/quant.sf;Control
TR12;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR12.quant/quant.sf;Drought
TR14;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR14.quant/quant.sf;Control
TR15;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR15.quant/quant.sf;Drought
TR16;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR16.quant/quant.sf;Control
TR17;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR17.quant/quant.sf;Drought
TR18;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR18.quant/quant.sf;Control
TR19;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR19.quant/quant.sf;Drought
TR20;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR20.quant/quant.sf;Control
TR21;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR21.quant/quant.sf;Drought
TR22;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR22.quant/quant.sf;Control
TR23;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR23.quant/quant.sf;Drought
TR24;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR24.quant/quant.sf;Control
TR25;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR25.quant/quant.sf;Drought
TR28;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR28.quant/quant.sf;Control
TR29;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR29.quant/quant.sf;Drought
TR30;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR30.quant/quant.sf;Control
TR31;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR31.quant/quant.sf;Drought
TR32;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR32.quant/quant.sf;Control
TR43;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR43.quant/quant.sf;Drought
TR48;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR48.quant/quant.sf;Control
TR50;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR50.quant/quant.sf;Drought
TR60;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR60.quant/quant.sf;Control
TR61;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR61.quant/quant.sf;Drought
TR62;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR62.quant/quant.sf;Drought
TR63;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR63.quant/quant.sf;Control
TR64;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR64.quant/quant.sf;Drought
TR65;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR65.quant/quant.sf;Control
TR67;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR67.quant/quant.sf;Drought
TR68;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR68.quant/quant.sf;Control
TR69;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR69.quant/quant.sf;Drought
TR70;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR70.quant/quant.sf;Control
TR71;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR71.quant/quant.sf;Drought
TR72;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR72.quant/quant.sf;Control
TR73;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR73.quant/quant.sf;Control 
TR74;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR74.quant/quant.sf;Drought 
TR75;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR75.quant/quant.sf;Control 
TR78;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR78.quant/quant.sf;Drought 
TR79;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR79.quant/quant.sf;Control 
TR80;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR80.quant/quant.sf;Drought 
TR81;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR81.quant/quant.sf;Control 
TR82;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR82.quant/quant.sf;Drought 
TR83;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR83.quant/quant.sf;Control 
TR84;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR84.quant/quant.sf;Drought 
TR85;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR85.quant/quant.sf;Control 
TR86;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR86.quant/quant.sf;Drought 
TR87;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR87.quant/quant.sf;Control 
TR88;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR88.quant/quant.sf;Drought 
TR89;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR89.quant/quant.sf;Control 
TR90;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR90.quant/quant.sf;Drought 
TR92;/Users/michaelfoster/sequencing/summer/clover_project/work/quants/TR92.quant/quant.sf;Control 
