# Assembly Statistics Report
# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	919831488
all	all	all	all	spanned-gaps	155402
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	10680
all	all	all	all	scaffold-N50	54415314
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	46487066
all	all	all	all	scaffold-N90	34737199
all	all	all	all	contig-count	166082
all	all	all	all	contig-N50	12085
all	all	all	all	contig-L50	18422
all	all	all	all	total-gap-length	163441293
all	all	all	all	molecule-count	17
all	all	all	all	top-level-count	10680
all	all	all	all	component-count	10680
Primary Assembly	all	all	all	total-length	919695753
Primary Assembly	all	all	all	ungapped-length	756254460
Primary Assembly	all	all	all	scaffold-count	10679
Primary Assembly	all	all	all	scaffold-N50	54415314
Primary Assembly	all	all	all	spanned-gaps	155402
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	892570572
Primary Assembly	all	all	assembled-molecule	ungapped-length	729129279
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	62546397
Primary Assembly	all	all	assembled-molecule	spanned-gaps	155402
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	27125181
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	27125181
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	10663
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	3806
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1O	Chromosome	all	total-length	95903191
Primary Assembly	1O	Chromosome	all	ungapped-length	79191508
Primary Assembly	1O	Chromosome	all	scaffold-count	1
