# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1	assembled-molecule	1O	Chromosome	CM019101.1	<>	na	Primary Assembly	95903191	na
chr9	assembled-molecule	1P	Chromosome	CM019102.1	<>	na	Primary Assembly	62546397	na
chr2	assembled-molecule	2O	Chromosome	CM019103.1	<>	na	Primary Assembly	54415314	na
chr10	assembled-molecule	2P	Chromosome	CM019104.1	<>	na	Primary Assembly	40013283	na
chr3	assembled-molecule	3O	Chromosome	CM019105.1	<>	na	Primary Assembly	76831320	na
chr11	assembled-molecule	3P	Chromosome	CM019106.1	<>	na	Primary Assembly	65212296	na
chr4	assembled-molecule	4O	Chromosome	CM019107.1	<>	na	Primary Assembly	84641331	na
chr12	assembled-molecule	4P	Chromosome	CM019108.1	<>	na	Primary Assembly	51265060	na
chr5	assembled-molecule	5O	Chromosome	CM019109.1	<>	na	Primary Assembly	48835629	na
chr13	assembled-molecule	5P	Chromosome	CM019110.1	<>	na	Primary Assembly	43106921	na
chr6	assembled-molecule	6O	Chromosome	CM019111.1	<>	na	Primary Assembly	39895986	na
chr14	assembled-molecule	6P	Chromosome	CM019112.1	<>	na	Primary Assembly	32268534	na
chr7	assembled-molecule	7O	Chromosome	CM019113.1	<>	na	Primary Assembly	53129252	na
